COMPANY_FKEY,bank_event
0000916108,1997-10-03
0000916109,2003-04-28
0000916112,1997-10-23
0000916184,2004-06-25
0000916457,2005-12-20
0000916823,2007-07-13
0000917464,2002-10-08
0000917707,2003-09-05
0000917770,2003-11-14
0000917821,2002-05-15
0000918275,2002-02-20
0000918577,2003-10-23
0000918581,2017-04-09
0000918653,2002-08-16
0000918765,2003-10-28
0000918944,2010-01-22
0000918963,2000-11-17
0000918964,2000-04-10
0000918999,2004-05-12
0000919013,2016-02-01
0000919226,2009-01-26
0000919603,2004-10-21
0000919611,2008-11-10
0000919943,2002-01-31
0000919957,2002-05-08
0000919999,2000-08-29
0000920038,2003-07-23
0000920042,2000-09-18
0000920317,2005-01-20
0000920321,2018-02-02
0000920448,2020-03-30
0000920771,2003-08-12
0000920947,2009-06-01
0000921439,2002-11-05
0000921445,2001-10-18
0000921549,2004-12-21
0000921898,2001-06-29
0000921929,2008-04-10
0000921960,2003-05-02
0000922257,1999-11-16
0000922341,1999-09-08
0000922404,2003-07-21
0000922471,2002-07-29
0000922475,2016-09-16
0000922810,2010-04-14
0000922812,2001-01-11
0000922868,2001-11-26
0000922978,2000-08-11
0000923473,2010-11-29
0000923529,2009-08-19
0000923877,2009-05-19
0000923899,2002-01-24
0000923978,2001-04-11
0000924117,2000-12-04
0000924140,2004-02-03
0000924174,2000-08-08
0000924374,2000-04-04
0000924380,2000-02-28
0000924632,2002-02-13
0000924921,2001-07-03
0000925178,2007-10-16
0000925464,2009-07-31
0000925548,2005-02-02
0000925660,2001-07-03
0000925739,2000-10-31
0000925779,2001-10-30
0000925928,2001-04-27
0000925942,2002-11-14
0000926038,2003-03-13
0000926285,2003-06-26
0000926617,2009-03-30
0000926866,2010-07-19
0000927314,2001-01-05
0000927417,2002-05-11
0000927456,2000-11-15
0000927643,2001-03-28
0000927760,2000-09-07
0000927790,2002-10-31
0000927809,2000-12-22
0000928064,2005-10-13
0000928156,2001-11-01
0000928375,2003-05-18
0000928800,2010-12-03
0000928908,2002-03-04
0000929061,2002-02-21
0000929144,2009-02-13
0000929473,1999-12-29
0000929752,2004-09-07
0000929941,2000-05-04
0000929994,2001-10-01
0000930529,2002-07-15
0000930735,2003-06-29
0000930795,2003-01-29
0000930817,2010-10-29
0000930835,2012-12-17
0000931085,2001-01-04
0000931336,2019-11-12
0000931457,2005-05-26
0000931702,2006-03-14
0000931799,2001-05-08
0000932088,2001-03-24
0000932110,2007-10-15
0000932127,2006-10-05
0000932140,2001-03-22
0000933136,2008-09-26
0000933157,2009-07-12
0000933401,2004-06-30
0000933524,2002-12-11
0000933583,2001-09-28
0000934306,2012-08-07
0000934330,2007-05-02
0000934509,2003-06-02
0000934851,2009-10-21
0000934852,2001-03-05
0000934873,2008-10-15
0000935063,2008-11-25
0000935066,2008-09-02
0000935493,2006-10-31
0000935724,2011-11-23
0000935730,2003-02-21
0000935802,2001-01-05
0000936163,2000-08-09
0000936446,2004-12-30
0000937603,2001-06-25
0000937971,2001-12-21
0000938320,2004-02-02
0000938578,2003-11-06
0000939930,2020-06-15
0000940034,2000-12-18
0000940510,2011-02-16
0000940716,2001-05-31
0000941020,2014-04-18
0000941552,2004-01-30
0000941814,2002-04-18
0000942138,2002-09-09
0000942143,2002-12-27
0000943206,2001-01-25
0000943320,2004-11-21
0000943322,2009-02-17
0000943323,2009-02-17
0000943605,2009-04-27
0000943690,2012-03-21
0000943861,2016-04-15
0000943894,2011-09-30
0000943941,2005-03-22
0000944136,2012-10-10
0000944163,2006-05-22
0000944310,2004-01-14
0000944400,2004-02-02
0000944402,2000-02-01
0000944522,2009-12-17
0000944649,2001-07-31
0000944725,2012-03-02
0000944739,2013-11-21
0000944853,2000-06-30
0000945212,2012-05-14
0000945276,2001-10-31
0000945379,2003-07-15
0000945436,2016-04-21
0000945764,2020-07-30
0000945771,2001-05-02
0000946090,2014-02-10
0000946154,2001-03-23
0000946283,2005-05-06
0000946323,2001-08-13
0000946392,2001-10-11
0000946661,2006-02-02
0000946816,2008-02-12
0000946842,2011-04-01
